head	relation	tail
e1290	r1	e1144
e1144	r0	e1649
e1359	r0	e622
e1323	r1	e1212
e1212	r0	e711
e1322	r0	e1557
e1391	r0	e515
e962	r0	e1422
e1343	r0	e1491
e1343	r0	e1506
e902	r0	e1473
e1388	r1	e1389
e1389	r0	e1516
e1389	r0	e1497
e1383	r0	e1588
e1383	r0	e1599
e928	r1	e1149
e1149	r0	e299
e1372	r0	e42
e1330	r0	e1429
e1330	r0	e1565
e1365	r0	e1649
e1279	r1	e1280
e1280	r0	e1454
e891	r0	e1489
e1350	r0	e1425
e1350	r0	e1421
e1350	r0	e1460
e1320	r0	e489
e1320	r0	e490
e1320	r0	e487
e1320	r0	e492
e1320	r0	e486
e1320	r0	e488
e1320	r0	e491
e1325	r0	e1443
e1325	r0	e1458
e900	r0	e249
e1332	r0	e101
e1332	r0	e99
e1332	r0	e100
e892	r0	e1505
e1367	r0	e311
e1367	r0	e314
e1367	r0	e308
e1367	r0	e310
e1367	r0	e307
e1367	r0	e312
e1367	r0	e309
e1367	r0	e313
e1270	r0	e1649
e1299	r1	e1213
e1213	r0	e1628
e968	r0	e1503
e892	r1	e1089
e1089	r0	e282
e1089	r0	e280
e1089	r0	e281
e1089	r0	e283
e901	r0	e825
e901	r0	e823
e901	r0	e824
e901	r1	e1109
e1109	r0	e1493
e1109	r0	e1474
e1109	r0	e1593
e1109	r0	e1598
e1109	r0	e1519
e1109	r0	e1437
e1109	r0	e1572
e1109	r0	e1597
e1109	r0	e1608
e1352	r1	e1111
e1111	r0	e556
e1278	r1	e1051
e1051	r0	e1618
e1316	r1	e1187
e1187	r0	e592
e1327	r0	e1649
e892	r0	e82
e892	r0	e81
e892	r0	e83
e892	r0	e80
e1372	r0	e1450
e1372	r0	e1446
e1372	r0	e1448
e1372	r0	e1449
e940	r1	e1179
e1179	r0	e1621
e1365	r0	e204
e1414	r0	e1454
e1335	r0	e1580
e1335	r0	e1439
e1335	r0	e1577
e1264	r0	e1422
e1296	r0	e395
e1266	r0	e1505
e876	r0	e94
e876	r0	e95
e1256	r1	e1257
e1257	r0	e1527
e875	r1	e1055
e1055	r0	e1473
e1374	r0	e359
e1282	r0	e1623
e945	r0	e826
e945	r0	e827
e972	r1	e1218
e1218	r0	e1424
e1218	r0	e1518
e1218	r0	e1457
e1218	r0	e1481
e1281	r0	e14
e895	r1	e1095
e1095	r0	e331
e1095	r0	e330
e1095	r0	e329
e1387	r0	e1585
e1387	r0	e1521
e1387	r0	e1594
e1287	r0	e704
e1313	r0	e187
e1313	r0	e188
e1313	r0	e189
e871	r0	e803
e1285	r1	e1043
e1043	r0	e384
e1043	r0	e383
e901	r0	e722
e1362	r0	e570
e993	r0	e1489
e1287	r0	e1576
e1287	r0	e1438
e1380	r1	e1113
e1113	r0	e1527
e1288	r0	e1649
e1393	r0	e243
e1393	r0	e244
e1335	r0	e1576
e1335	r0	e1438
e1005	r0	e1647
e1403	r1	e1243
e1243	r0	e576
e1243	r0	e577
e1243	r0	e575
e1259	r0	e1635
e1374	r0	e1420
e1374	r0	e1551
e1374	r0	e1596
e1374	r0	e1550
e1374	r0	e1480
e875	r0	e1618
e1296	r0	e106
e1407	r0	e1548
e1343	r1	e1076
e1076	r0	e1491
e1076	r0	e1506
e1323	r0	e622
e948	r0	e1634
e1345	r1	e1346
e1346	r0	e1643
e1362	r1	e1039
e1039	r0	e1623
e1378	r0	e1543
e1408	r0	e1633
e905	r0	e1489
e1311	r0	e1513
e1311	r0	e1514
e1311	r0	e1520
e1311	r0	e1472
e986	r0	e291
e986	r0	e290
e1391	r0	e1503
e859	r0	e1456
e901	r0	e621
e1406	r0	e239
e1406	r0	e238
e1406	r0	e240
e1365	r0	e1613
e1324	r1	e1133
e1133	r0	e1527
e1356	r0	e301
e1313	r0	e647
e1313	r0	e645
e1313	r0	e638
e1313	r0	e648
e1313	r0	e644
e1313	r0	e646
e1313	r0	e635
e1313	r0	e633
e1313	r0	e639
e1313	r0	e640
e1313	r0	e650
e1313	r0	e642
e1313	r0	e641
e1313	r0	e643
e1313	r0	e651
e1313	r0	e637
e1313	r0	e634
e1313	r0	e636
e1313	r0	e649
e1313	r0	e652
e1322	r1	e1075
e1075	r0	e1625
e881	r0	e1611
e1007	r0	e143
e1007	r0	e145
e1007	r0	e144
e1324	r0	e1643
e1354	r0	e1517
e1354	r0	e1528
e962	r0	e1466
e962	r0	e1571
e962	r0	e1475
e962	r0	e1478
e949	r1	e1189
e1189	r0	e530
e1328	r0	e838
e931	r1	e1157
e1157	r0	e0
e1256	r0	e333
e1406	r0	e1623
e1335	r0	e1554
e1342	r0	e1623
e1330	r1	e1193
e1193	r0	e1618
e1346	r0	e1454
e892	r0	e1573
e892	r0	e1445
e1344	r0	e846
e1343	r0	e263
e1343	r0	e267
e1343	r0	e269
e1343	r0	e266
e1343	r0	e265
e1343	r0	e268
e1343	r0	e264
e1320	r0	e73
e1320	r0	e74
e1287	r0	e703
e1311	r1	e1073
e1073	r0	e1513
e1073	r0	e1514
e1073	r0	e1520
e1073	r0	e1472
e866	r1	e1037
e1037	r0	e1635
e1111	r0	e1624
e1395	r0	e294
e1407	r0	e494
e1321	r1	e1063
e1063	r0	e1546
e1303	r0	e1640
e1322	r0	e1623
e953	r0	e1621
e1329	r0	e1491
e1329	r0	e1506
e962	r1	e1211
e1211	r0	e1466
e1211	r0	e1571
e1211	r0	e1475
e1211	r0	e1478
e1354	r0	e208
e1354	r0	e209
e1260	r1	e1261
e1261	r0	e1631
e1370	r0	e37
e1388	r0	e1640
e847	r0	e1508
e1305	r0	e1618
e1341	r0	e1466
e1341	r0	e1571
e1341	r0	e1475
e1341	r0	e1478
e1409	r0	e1454
e1296	r0	e126
e1279	r0	e1603
e1381	r0	e1543
e994	r1	e1242
e1242	r0	e630
e1242	r0	e632
e1242	r0	e631
e877	r1	e1064
e1064	r0	e1543
e1308	r0	e600
e1398	r1	e1222
e1222	r0	e1633
e1316	r0	e1488
e1381	r1	e1121
e1121	r0	e10
e1295	r0	e1640
e1325	r0	e1643
e893	r0	e616
e893	r0	e617
e893	r0	e615
e893	r0	e614
e1109	r0	e1623
e1335	r1	e1226
e1226	r0	e1422
e1381	r0	e1466
e1381	r0	e1571
e1381	r0	e1475
e1381	r0	e1478
e1007	r1	e1254
e1254	r0	e1618
e1264	r0	e210
e1264	r0	e211
e992	r0	e1420
e992	r0	e1551
e992	r0	e1596
e992	r0	e1550
e992	r0	e1480
e1003	r0	e738
e1003	r0	e737
e1003	r0	e734
e1003	r0	e735
e1003	r0	e736
e1378	r0	e1467
e1322	r0	e1625
e884	r0	e569
e884	r0	e568
e1362	r1	e1040
e1040	r0	e1568
e983	r0	e622
e1331	r0	e1420
e1331	r0	e1551
e1331	r0	e1596
e1331	r0	e1550
e1331	r0	e1480
e955	r0	e1491
e955	r0	e1506
e1317	r0	e776
e1309	r0	e1491
e1309	r0	e1506
e1273	r1	e1046
e1046	r0	e1434
e1046	r0	e1549
e1350	r0	e259
e1414	r0	e1473
e1382	r0	e202
e1311	r0	e98
e1006	r0	e812
e1342	r0	e249
e1339	r0	e1422
e1337	r0	e170
e1337	r0	e172
e1337	r0	e171
e1337	r0	e173
e1337	r0	e169
e935	r0	e1454
e1346	r0	e1588
e1346	r0	e1599
e1381	r0	e10
e1263	r0	e467
e1322	r0	e1576
e1322	r0	e1438
e1343	r0	e1464
e1343	r0	e1535
e1343	r0	e1463
e1381	r0	e316
e875	r0	e1568
e1386	r0	e1502
e894	r1	e1094
e1094	r0	e1618
e1370	r0	e1623
e1364	r0	e1622
e1331	r0	e345
e992	r1	e1238
e1238	r0	e1618
e1354	r1	e1251
e1251	r0	e624
e1256	r0	e397
e1002	r1	e1250
e1250	r0	e1548
e984	r0	e224
e1349	r0	e1456
e1304	r0	e705
e1287	r1	e1204
e1204	r0	e1647
e918	r0	e1633
e1334	r0	e1635
e1318	r0	e1466
e1318	r0	e1571
e1318	r0	e1475
e1318	r0	e1478
e927	r0	e289
e1250	r0	e1422
e1290	r0	e1511
e1290	r0	e1477
e1290	r0	e1507
e1121	r0	e1543
e990	r0	e629
e1360	r1	e1183
e1183	r0	e1456
e1291	r0	e773
e1304	r0	e592
e1374	r1	e1182
e1182	r0	e1619
e875	r0	e1611
e1286	r0	e397
e915	r0	e695
e915	r0	e697
e915	r0	e698
e915	r0	e696
e915	r0	e694
e915	r0	e693
e915	r0	e692
e1380	r0	e1527
e880	r0	e591
e1313	r1	e1114
e1114	r0	e713
e1114	r0	e712
e1114	r0	e714
e1302	r0	e22
e1302	r0	e21
e1334	r0	e1602
e1002	r0	e1422
e1279	r0	e1454
e1361	r0	e733
e1360	r0	e1621
e1303	r0	e1623
e1335	r0	e563
e1335	r0	e564
e1331	r0	e1629
e1282	r1	e1030
e1030	r0	e1623
e962	r0	e1435
e962	r0	e1432
e1365	r0	e1420
e1365	r0	e1551
e1365	r0	e1596
e1365	r0	e1550
e1365	r0	e1480
e1335	r1	e1336
e1336	r0	e208
e1336	r0	e209
e1274	r0	e1642
e1342	r0	e257
e1362	r0	e627
e1286	r0	e1647
e1285	r0	e1611
e1277	r0	e1454
e1286	r0	e1589
e1286	r0	e1526
e995	r0	e684
e1296	r0	e567
e1378	r0	e502
e1332	r0	e1562
e1332	r0	e1583
e1389	r0	e1623
e1332	r0	e553
e1332	r0	e554
e1305	r0	e1443
e1305	r0	e1458
e875	r1	e1056
e1056	r0	e1647
e1381	r0	e109
e1381	r0	e108
e1381	r0	e107
e1381	r0	e1600
e1381	r0	e111
e1381	r0	e112
e1381	r0	e113
e1381	r0	e110
e1387	r0	e1467
e1274	r0	e1462
e1274	r0	e1581
e1365	r0	e1611
e1346	r0	e1642
e893	r0	e742
e893	r0	e743
e1368	r0	e190
e936	r0	e332
e1346	r0	e1510
e1346	r0	e1575
e1263	r0	e1633
e1370	r0	e1588
e1370	r0	e1599
e1399	r0	e1429
e1399	r0	e1565
e1358	r0	e498
e1358	r0	e501
e1358	r0	e499
e1358	r0	e500
e1365	r1	e1236
e1236	r0	e1619
e1314	r0	e1623
e1399	r0	e707
e989	r0	e624
e1304	r0	e1464
e1304	r0	e1535
e1304	r0	e1463
e916	r1	e1132
e1132	r0	e1649
e971	r0	e1434
e971	r0	e1549
e901	r0	e1501
e1001	r0	e1638
e1416	r0	e1629
e1315	r0	e574
e1315	r0	e572
e1315	r0	e573
e1386	r0	e1629
e1365	r0	e654
e1365	r0	e655
e949	r1	e1191
e1191	r0	e1466
e1191	r0	e1571
e1191	r0	e1475
e1191	r0	e1478
e1314	r0	e1429
e1314	r0	e1565
e878	r1	e1065
e1065	r0	e1563
e1356	r0	e555
e901	r0	e1471
e1408	r0	e1543
e1354	r0	e212
e1317	r0	e212
e854	r0	e532
e1289	r0	e1614
e1285	r1	e1044
e1044	r0	e1509
e1387	r0	e1623
e1302	r0	e420
e1302	r0	e423
e1302	r0	e416
e1302	r0	e413
e1302	r0	e415
e1302	r0	e417
e1302	r0	e424
e1302	r0	e409
e1302	r0	e411
e1302	r0	e418
e1302	r0	e414
e1302	r0	e421
e1302	r0	e422
e1302	r0	e419
e1302	r0	e425
e1302	r0	e410
e1302	r0	e412
e1291	r0	e1619
e1348	r0	e1627
e1318	r0	e773
e876	r0	e37
e1372	r0	e1611
e886	r0	e702
e1306	r0	e1645
e910	r1	e1125
e1125	r0	e1515
e1125	r0	e1469
e1403	r0	e721
e849	r0	e1554
e1324	r0	e1644
e886	r0	e170
e886	r0	e172
e886	r0	e171
e886	r0	e173
e886	r0	e169
e1302	r0	e218
e1365	r1	e1235
e1235	r0	e1620
e848	r1	e1010
e1010	r0	e1420
e1010	r0	e1551
e1010	r0	e1596
e1010	r0	e1550
e1010	r0	e1480
e1398	r0	e1543
e1399	r0	e1552
e1399	r0	e1522
e1399	r0	e1532
e1399	r0	e1544
e1399	r0	e1427
e1399	r0	e1433
e1399	r0	e1496
e1350	r0	e1502
e1263	r1	e1151
e1151	r0	e1611
e1337	r1	e1338
e1338	r0	e101
e1338	r0	e99
e1338	r0	e100
e1314	r0	e1649
e939	r0	e1632
e1335	r0	e661
e1335	r0	e660
e1372	r1	e1214
e1214	r0	e1456
e1397	r0	e1559
e893	r0	e555
e1381	r0	e780
e1352	r1	e1353
e1353	r0	e158
e1264	r0	e1629
e1364	r0	e628
e1286	r0	e670
e1286	r0	e668
e1286	r0	e669
e1333	r0	e574
e1333	r0	e572
e1333	r0	e573
e902	r0	e397
e1311	r1	e1072
e1072	r0	e653
e1002	r0	e243
e1002	r0	e244
e928	r0	e1624
e876	r0	e1639
e1243	r0	e1473
e989	r1	e1234
e1234	r0	e838
e1349	r0	e1529
e1255	r0	e1443
e1255	r0	e1458
e1260	r0	e525
e1267	r0	e1607
e856	r0	e672
e1327	r0	e578
e910	r0	e1515
e910	r0	e1469
e1280	r0	e521
e1370	r1	e1245
e1245	r0	e1466
e1245	r0	e1571
e1245	r0	e1475
e1245	r0	e1478
e1352	r0	e1622
e1400	r1	e1401
e1401	r0	e1587
e1270	r1	e1271
e1271	r0	e1649
e860	r0	e1443
e860	r0	e1458
e1375	r0	e121
e1375	r0	e122
e965	r0	e1625
e928	r0	e295
e875	r0	e1573
e875	r0	e1445
e851	r0	e1561
e851	r0	e1451
e851	r0	e1447
e851	r0	e1452
e998	r0	e386
e913	r0	e1623
e1308	r0	e1443
e1308	r0	e1458
e1412	r0	e1567
e1412	r0	e1564
e1243	r0	e1595
e1372	r0	e251
e1404	r0	e593
e1404	r0	e596
e1404	r0	e597
e1404	r0	e594
e1404	r0	e595
e1351	r0	e557
