,foodb_id,orig_name,scientific_name,itis_id,food_group,food_subgroup,ncbi_taxon_id
0,FOOD00001,Angelica,Angelica keiskei,,Herbs and Spices,Herbs,357850.0
1,FOOD00002,Savoy cabbage,Brassica oleracea var. sabauda,,Vegetables,Cabbages,1216010.0
2,FOOD00003,Silver linden,Tilia argentea,845789,Herbs and Spices,Herbs,
3,FOOD00004,Kiwi,Actinidia chinensis,506775,Fruits,Tropical fruits,3625.0
4,FOOD00005,Allium,Allium,42634,Vegetables,Onion-family vegetables,4678.0
5,FOOD00006,Garden onion,Allium cepa,42720,Vegetables,Onion-family vegetables,4679.0
6,FOOD00007,Leek,Allium porrum,42659,Vegetables,Onion-family vegetables,
7,FOOD00008,Garlic,Allium sativum,42652,Herbs and Spices,Herbs,4682.0
8,FOOD00009,Chives,Allium schoenoprasum,42636,Herbs and Spices,Herbs,74900.0
9,FOOD00010,Lemon verbena,Aloysia triphylla,32135,Herbs and Spices,Herbs,542672.0
10,FOOD00011,Cashew nut,Anacardium occidentale,28793,Nuts,Nuts,171929.0
11,FOOD00012,Pineapple,Ananas comosus,42335,Fruits,Tropical fruits,4615.0
12,FOOD00013,Dill,Anethum graveolens,29584,Herbs and Spices,Herbs,40922.0
13,FOOD00014,Custard apple,Annona reticulata,18099,Fruits,Tropical fruits,301862.0
14,FOOD00015,Wild celery,Apium graveolens,182184,Herbs and Spices,Spices,4045.0
15,FOOD00016,Peanut,Arachis hypogaea,26463,Nuts,Nuts,3818.0
16,FOOD00017,Burdock,Arctium lappa,36545,Vegetables,Root vegetables,4217.0
17,FOOD00018,Horseradish,Armoracia rusticana,23044,Herbs and Spices,Spices,3704.0
18,FOOD00019,Tarragon,Artemisia dracunculus,35462,Herbs and Spices,Herbs,72341.0
19,FOOD00020,Mugwort,Artemisia vulgaris,35505,Herbs and Spices,Herbs,4220.0
20,FOOD00021,Asparagus,Asparagus officinalis,42784,Vegetables,Shoot vegetables,4686.0
21,FOOD00022,Oat,Avena sativa,41459,Cereals and cereal products,Cereals,4498.0
22,FOOD00023,Star fruit,Averrhoa carambola,506371,Fruits,Tropical fruits,28974.0
23,FOOD00024,Brazil nut,Bertholletia excelsa,21989,Nuts,Nuts,3645.0
24,FOOD00025,Common beet,Beta vulgaris,20681,Vegetables,Leaf vegetables,161934.0
25,FOOD00026,Borage,Borago officinalis,31727,Herbs and Spices,Oilseed crops,13363.0
26,FOOD00027,Chinese mustard,Brassica juncea,23059,Vegetables,Cabbages,3707.0
27,FOOD00028,Swede,Brassica napus,23060,Vegetables,Root vegetables,3708.0
28,FOOD00029,Rape,Brassica napus var. napus,530955,Vegetables,Root vegetables,138011.0
29,FOOD00030,Common cabbage,Brassica oleracea,23062,Vegetables,Cabbages,3712.0
30,FOOD00031,Cauliflower,Brassica oleracea var. botrytis,530957,Vegetables,Cabbages,3715.0
31,FOOD00032,Brussel sprouts,Brassica oleracea var. gemmifera,530959,Vegetables,Cabbages,178616.0
32,FOOD00033,Kohlrabi,Brassica oleracea var. gongylodes,530960,Vegetables,Root vegetables,109379.0
33,FOOD00034,Broccoli,Brassica oleracea var. italica,530961,Vegetables,Cabbages,36774.0
34,FOOD00035,Chinese cabbage,Brassica rapa,23063,Vegetables,Cabbages,3711.0
35,FOOD00036,Turnip,Brassica rapa var. rapa,526965,Herbs and Spices,Herbs,51350.0
36,FOOD00037,Pigeon pea,Cajanus cajan,26516,Pulses,Peas,3821.0
37,FOOD00038,Tea,Camellia sinensis,506801,Teas,Teas,4442.0
38,FOOD00039,Capers,Capparis spinosa,505885,Herbs and Spices,Spices,65558.0
39,FOOD00040,Pepper,Capsicum annuum,30492,Vegetables,Fruit vegetables,4072.0
40,FOOD00041,Papaya,Carica papaya,22324,Fruits,Tropical fruits,3649.0
41,FOOD00042,Safflower,Carthamus tinctorius,501305,Herbs and Spices,Oilseed crops,4222.0
42,FOOD00043,Caraway,Carum carvi,29610,Herbs and Spices,Spices,48032.0
43,FOOD00044,Pecan nut,Carya illinoinensis,19234,Nuts,Nuts,32201.0
44,FOOD00045,Chestnut,Castanea,19451,Nuts,Nuts,21019.0
45,FOOD00046,Roman camomile,Chamaemelum nobile,501396,Herbs and Spices,Herbs,99037.0
46,FOOD00047,Chickpea,Cicer arietinum,26537,Pulses,Peas,3827.0
47,FOOD00048,Endive,Cichorium endivia,501522,Vegetables,Leaf vegetables,114280.0
48,FOOD00049,Chicory,Cichorium intybus,36763,Vegetables,Root vegetables,13427.0
49,FOOD00050,Chinese cinnamon,Cinnamomum aromaticum,506205,Herbs and Spices,Spices,119260.0
50,FOOD00051,Ceylon cinnamon,Cinnamomum verum,501529,Herbs and Spices,Spices,128608.0
51,FOOD00052,Watermelon,Citrullus lanatus,22356,Gourds,Gourds,3654.0
52,FOOD00053,Lime,Citrus aurantiifolia,506403,Fruits,Citrus,159033.0
53,FOOD00054,Lemon,Citrus limon,28885,Fruits,Citrus,2708.0
54,FOOD00055,Pummelo,Citrus maxima,501574,Fruits,Citrus,37334.0
55,FOOD00056,"Mandarin orange (Clementine, Tangerine)",Citrus reticulata,28888,Fruits,Citrus,85571.0
56,FOOD00057,Sweet orange,Citrus sinensis,28889,Fruits,Citrus,2711.0
57,FOOD00058,Coffee,Coffea,35189,Coffee and coffee products,Coffee,13442.0
58,FOOD00059,Arabica coffee,Coffea arabica,35190,Coffee and coffee products,Coffee,13443.0
59,FOOD00060,Robusta coffee,Coffea canephora,506060,Coffee and coffee products,Coffee,49390.0
60,FOOD00061,Coriander,Coriandrum sativum,29622,Herbs and Spices,Herbs,4047.0
61,FOOD00062,Common hazelnut,Corylus avellana,501642,Nuts,Nuts,13451.0
62,FOOD00063,Saffron,Crocus sativus,501794,Herbs and Spices,Spices,82528.0
63,FOOD00064,Muskmelon,Cucumis melo,22362,Gourds,Gourds,3656.0
64,FOOD00065,Cucumber,Cucumis sativus,22364,Gourds,Gourds,3659.0
65,FOOD00066,Cucurbita,Cucurbita,22365,Gourds,Gourds,3660.0
66,FOOD00067,Cumin,Cuminum cyminum,501839,Herbs and Spices,Spices,52462.0
67,FOOD00068,Turmeric,Curcuma longa,42394,Herbs and Spices,Spices,136217.0
68,FOOD00069,Quince,Cydonia oblonga,25159,Fruits,Pomes,36610.0
69,FOOD00070,Lemon grass,Cymbopogon citratus,41613,Herbs and Spices,Herbs,66014.0
70,FOOD00071,Globe artichoke,Cynara scolymus,37222,Vegetables,Shoot vegetables,59895.0
71,FOOD00072,Wild carrot,Daucus carota,29477,Vegetables,Root vegetables,4039.0
72,FOOD00073,Japanese persimmon,Diospyros kaki,505970,Fruits,Tropical fruits,35925.0
73,FOOD00074,Cardamom,Elettaria cardamomum,506505,Herbs and Spices,Spices,105181.0
74,FOOD00075,Black crowberry,Empetrum nigrum,23743,Fruits,Berries,191066.0
75,FOOD00076,Loquat,Eriobotrya japonica,502403,Fruits,Tropical fruits,32224.0
76,FOOD00077,Rocket salad (ssp.),Eruca vesicaria ssp. sativa,524057,Vegetables,Leaf vegetables,29727.0
77,FOOD00078,Wax apple,Eugenia javanica,27192,Fruits,Tropical fruits,119950.0
78,FOOD00079,Common buckwheat,Fagopyrum esculentum,502589,Cereals and cereal products,Cereals,3617.0
79,FOOD00080,Tartary buckwheat,Fagopyrum tataricum,21283,Cereals and cereal products,Cereals,62330.0
80,FOOD00081,Fig,Ficus carica,19093,Fruits,Other fruits,3494.0
81,FOOD00082,Fennel,Foeniculum vulgare,29509,Herbs and Spices,Herbs,48038.0
82,FOOD00083,Strawberry,Fragaria X ananassa,24630,Fruits,Berries,3747.0
83,FOOD00084,Black huckleberry,Gaylussacia baccata,23660,Fruits,Berries,128893.0
84,FOOD00085,Soy bean,Glycine max,26716,Soy,Soy,3847.0
85,FOOD00086,Sunflower,Helianthus annuus,36616,Herbs and Spices,Oilseed crops,4232.0
86,FOOD00087,Sea-buckthornberry,Hippophae rhamnoides,503044,Fruits,Berries,193516.0
87,FOOD00088,Barley,Hordeum vulgare,40874,Cereals and cereal products,Cereals,4513.0
88,FOOD00089,Hyssop,Hyssopus officinalis,32536,Herbs and Spices,Herbs,39324.0
89,FOOD00090,Star anise,Illicium verum,505892,Herbs and Spices,Spices,124778.0
90,FOOD00091,Swamp cabbage,Ipomoea aquatica,30759,Vegetables,Leaf vegetables,89636.0
