foodatlas_id	entity_type	common_name	scientific_name	synonyms	external_ids
e1	food	striped bass	morone saxatilis	['m. saxatilis (walbaum, 1792)', 'striped sea-basses', 'morone saxatilis', 'striped sea-bass', 'perca saxatilis', 'striped basses', 'p. saxatilis walbaum, 1792', 'morone saxatilis (walbaum, 1792)', 'perca saxatilis walbaum, 1792', 'striped bass', 'm. saxatilis', 'p. saxatilis']	{'ncbi_taxon_id': 34816, 'foodb_ids': ['FOOD00298']}
e2	food	Pacific herring	clupea pallasii	['clupea pallasii', 'c. pallasii valenciennes, 1847', 'pacific herring', 'c. harengus pallasi', 'clupea pallasi', 'clupea harengus pallasi', 'pacific herrings', 'c. pallasii', 'c. pallasi', 'clupea pallasii valenciennes, 1847']	{'ncbi_taxon_id': 30724, 'foodb_ids': ['FOOD00424']}
e3	food	sebastes	sebastes	['sebastes', 'pacific rockfish']	{'ncbi_taxon_id': 34820, 'foodb_ids': ['FOOD00426']}
e4	food	poodler	zoarces americanus	['z. americanus (bloch & schneider, 1801)', 'blennius americanus', 'north-atlantic ocean pout', 'mother-of-eels', 'muttonfish', 'zoarces americanus (bloch & schneider, 1801)', 'north-atlantic ocean pouts', 'mother-of-eel', 'm. americanus', 'blennius americanus bloch & schneider, 1801', 'z. americanus', 'b. americanus', 'zoarces americanus', 'muttonfishes', 'poodler', 'macrozoarces americanus', 'ocean pouts', 'poodlers', 'ocean pout', 'b. americanus bloch & schneider, 1801']	{'ncbi_taxon_id': 8199, 'foodb_ids': ['FOOD00417']}
e5	food	wolf-fish	anarhichas lupus	['a. lupus linnaeus, 1758', 'atlantic wolffishes', 'anarhichas orientalis lupus', 'a. orientalis lupus', 'a. lupus', 'anarhichas lupus linnaeus, 1758', 'anarhichas lupus', 'wolf-fish', 'wolf-fishes', 'atlantic wolffish']	{'ncbi_taxon_id': 8204, 'foodb_ids': ['FOOD00296']}
e6	food	garpike	belone belone	['e. belone', 'garpike', 'garpikes', 'esox belone linnaeus, 1760', 'esox belone', 'b. belone', 'belone belone (linnaeus, 1761)', 'belone belone', 'e. belone linnaeus, 1760', 'b. belone (linnaeus, 1761)', 'garfish']	{'ncbi_taxon_id': 129037, 'foodb_ids': ['FOOD00579']}
e7	food	brinjal	solanum melongena	['eggplants', 'aubergine', 'solanum melongena', 'eggplant', 's. melongena', 's. melongena l., 1753', 'brinjal', 'aubergines', 'solanum melongena l., 1753', 'brinjals']	{'ncbi_taxon_id': 4111, 'foodb_ids': ['FOOD00174']}
e8	food	potato	solanum tuberosum	['solanum tuberosum subsp. tuberosum', 'potato', 's. tuberosum', 'solanum tuberosum l., 1753', 's. tuberosum l., 1753', 'potatoes', 'solanum tuberosum']	{'ncbi_taxon_id': 4113, 'foodb_ids': ['FOOD00175']}
e9	food	caper	capparis spinosa	['c. spinose', 'capparis spinosa l., 1753', 'c. spinosa', 'caperbush', 'c. spinosa l., 1753', 'capparis spinosa', 'caper', 'capparis spinose', 'capers', 'caperbushes']	{'ncbi_taxon_id': 65558, 'foodb_ids': ['FOOD00039']}
e10	food	epinephelus	epinephelus	['epinephelus', 'promicrops', 'grouper']	{'ncbi_taxon_id': 94231, 'foodb_ids': ['FOOD00372']}
