name	foodatlas_id
riboflavin	['e681']
vitamin b2	['e681']
83-88-5	['e681']
lactoflavin	['e681']
riboflavine	['e681']
vitamin g	['e681']
lactoflavine	['e681']
flavaxin	['e681']
(-)-riboflavin	['e681']
riboflavinum	['e681']
beflavin	['e681']
beflavine	['e681']
lactobene	['e681']
ribocrisina	['e681']
riboderm	['e681']
riboflavina	['e681']
ribotone	['e681']
vitaflavine	['e681']
flaxain	['e681']
ribipca	['e681']
ribosyn	['e681']
ribovel	['e681']
vitamin bi	['e681']
flavin bb	['e681']
russupteridine yellow iii	['e681']
vitasan b2	['e681']
hyre	['e681']
bisulase	['e681']
riboflavinequinone	['e681']
7,8-dimethyl-10-ribitylisoalloxazine	['e681']
6,7-dimethyl-9-d-ribitylisoalloxazine	['e681']
e101	['e681']
lacto-flavin	['e681']
fiboflavin	['e681']
dermadram	['e681']
vitamin-b2	['e681']
hsdb 817	['e681']
aqua-flave	['e681']
c.i. food yellow 15	['e681']
riboflavin (vit b2)	['e681']
ccris 1904	['e681']
ins no.101(iii)	['e681']
chebi:17015	['e681']
ins-101(iii)	['e681']
riboflavin (vitamin b2)	['e681']
unii-tlm2976ofr	['e681']
7,8-dimethyl-10-(d-ribo-2,3,4,5-tetrahydroxypentyl)isoalloxazine	['e681']
einecs 201-507-1	['e681']
e-101(iii)	['e681']
tlm2976ofr	['e681']
vitamin b2 (as riboflavin)	['e681']
nsc 33298	['e681']
vitamin b-2	['e681']
dtxsid8021777	['e681']
ai3-14697	['e681']
ins no. 101(i)	['e681']
isoalloxazine, 7,8-dimethyl-10-d-ribityl-	['e681']
c.i. 50900	['e681']
7,8-dimethyl-10-[(2s,3s,4r)-2,3,4,5-tetrahydroxypentyl]benzo[g]pteridine-2,4-dione	['e681']
mfcd00005022	['e681']
nsc-33298	['e681']
nci-0033298	['e681']
7,8-dimethyl-10-((2s,3s,4r)-2,3,4,5-tetrahydroxypentyl)benzo[g]pteridine-2,4(3h,10h)-dione	['e681']
d-ribitol, 1-deoxy-1-(3,4-dihydro-7,8-dimethyl-2,4-dioxobenzo(g)pteridin-10(2h)-yl)-	['e681']
dtxcid401777	['e681']
isoalloxazine, 7,8-dimethyl-10-(d-ribo-2,3,4,5-tetrahydroxypentyl)-	['e681']
1-deoxy-1-(7,8-dimethyl-2,4-dioxo-3,4-dihydrobenzo[g]pteridin-10(2h)-yl)pentitol	['e681']
