name	foodatlas_id
striped bass	['e1']
striped sea-bass	['e1']
striped basses	['e1']
striped sea-basses	['e1']
morone saxatilis	['e1']
perca saxatilis	['e1']
morone saxatilis (walbaum, 1792)	['e1']
perca saxatilis walbaum, 1792	['e1']
m. saxatilis	['e1']
p. saxatilis	['e1']
m. saxatilis (walbaum, 1792)	['e1']
p. saxatilis walbaum, 1792	['e1']
NCBI_Taxonomy_ID:34816	['e1']
pacific herring	['e2']
pacific herrings	['e2']
clupea pallasii	['e2']
clupea harengus pallasi	['e2']
clupea pallasi	['e2']
clupea pallasii valenciennes, 1847	['e2']
c. pallasii	['e2']
c. harengus pallasi	['e2']
c. pallasi	['e2']
c. pallasii valenciennes, 1847	['e2']
NCBI_Taxonomy_ID:30724	['e2']
sebastes	['e3']
NCBI_Taxonomy_ID:34820	['e3']
north-atlantic ocean pout	['e4']
mother-of-eels	['e4']
muttonfish	['e4']
poodler	['e4']
ocean pout	['e4']
north-atlantic ocean pouts	['e4']
mother-of-eel	['e4']
muttonfishes	['e4']
poodlers	['e4']
ocean pouts	['e4']
zoarces americanus	['e4']
blennius americanus	['e4']
macrozoarces americanus	['e4']
blennius americanus bloch & schneider, 1801	['e4']
zoarces americanus (bloch & schneider, 1801)	['e4']
z. americanus	['e4']
b. americanus	['e4']
m. americanus	['e4']
b. americanus bloch & schneider, 1801	['e4']
z. americanus (bloch & schneider, 1801)	['e4']
NCBI_Taxonomy_ID:8199	['e4']
wolf-fish	['e5']
atlantic wolffish	['e5']
wolf-fishes	['e5']
atlantic wolffishes	['e5']
anarhichas lupus	['e5']
anarhichas orientalis lupus	['e5']
anarhichas lupus linnaeus, 1758	['e5']
a. lupus	['e5']
a. orientalis lupus	['e5']
a. lupus linnaeus, 1758	['e5']
NCBI_Taxonomy_ID:8204	['e5']
garpike	['e6']
garpikes	['e6']
belone belone	['e6']
esox belone	['e6']
belone belone (linnaeus, 1761)	['e6']
esox belone linnaeus, 1760	['e6']
b. belone	['e6']
e. belone	['e6']
b. belone (linnaeus, 1761)	['e6']
e. belone linnaeus, 1760	['e6']
NCBI_Taxonomy_ID:129037	['e6']
aubergine	['e7']
brinjal	['e7']
eggplant	['e7']
aubergines	['e7']
brinjals	['e7']
eggplants	['e7']
solanum melongena	['e7']
solanum melongena l., 1753	['e7']
s. melongena	['e7']
s. melongena l., 1753	['e7']
NCBI_Taxonomy_ID:4111	['e7']
potatoes	['e8']
potato	['e8']
