foodatlas_id	tids	food_name	chemical_name	conc_value	conc_unit	food_part	food_processing	source	reference	quality_score	_extracted_conc	_extracted_food_part
mc1	['t1']	hummus, commercial	sfa 10:0	0.0	g/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc2	['t2']	hummus, commercial	sfa 16:0	1.41	g/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc3	['t3']	hummus, commercial	pufa 20:5 n-3 (epa)	0.0	g/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc4	['t4']	hummus, commercial	tocopherol, delta	1.3	mg/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc5	['t5']	hummus, commercial	magnesium, mg	71.1	mg/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc6	['t6']	hummus, commercial	galactose	0.0	g/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc7	['t7']	hummus, commercial	pufa 20:2 n-6 c,c	0.005	g/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc8	['t8']	hummus, commercial	fatty acids, total trans-dienoic	0.012	g/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc9	['t9']	hummus, commercial	pufa 18:3 n-3 c,c,c (ala)	0.637	g/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc10	['t10']	hummus, commercial	choline, from glycerophosphocholine	1.1	mg/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc11	['t11']	hummus, commercial	sfa 4:0	0.0	g/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc12	['t12']	hummus, commercial	choline, free	22.3	mg/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc13	['t13']	hummus, commercial	lutein + zeaxanthin	258.0	ug/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc14	['t14']	hummus, commercial	sfa 15:0	0.004	g/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc15	['t15']	hummus, commercial	sfa 22:0	0.044	g/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc16	['t16']	hummus, commercial	fatty acids, total saturated	2.22	g/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc17	['t17', 't18', 't19', 't20', 't21', 't22', 't23', 't24', 't25']	hummus, commercial	maltose	0.0	g/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc18	['t26']	hummus, commercial	pufa 18:4	0.0	g/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc19	['t27']	hummus, commercial	mufa 17:1	0.007	g/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc20	['t28']	hummus, commercial	iron, fe	2.41	mg/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc21	['t29']	hummus, commercial	total fat (nlea)	16.1	g/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc22	['t12']	hummus, commercial	choline, total	46.6	mg/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc23	['t30']	hummus, commercial	nitrogen	1.18	g/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc24	['t31']	hummus, commercial	glucose	0.0	g/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc25	['t32']	hummus, commercial	water	58.7	g/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc26	['t33']	hummus, commercial	carotene, alpha	0.0	ug/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
mc27	['t34']	hummus, commercial	selenium, se	16.2	ug/100g			fdc	https://fdc.nal.usda.gov/fdc-app.html#/food-details/321358/nutrients			
