foodatlas_id	head_id	relationship_id	tail_id
t1	e971	r1	e1323
t2	e971	r1	e1326
t3	e971	r1	e1337
t4	e971	r1	e1272
t5	e971	r1	e1207
t6	e971	r1	e1260
t7	e971	r1	e1353
t8	e971	r1	e1362
t9	e971	r1	e1367
t10	e971	r1	e1316
t11	e971	r1	e1320
t12	e971	r1	e1235
t13	e971	r1	e1311
t14	e971	r1	e1344
t15	e971	r1	e1334
t16	e971	r1	e1319
t17	e971	r1	e1168
t18	e971	r1	e1170
t19	e971	r1	e1187
t20	e971	r1	e1209
t21	e971	r1	e1228
t22	e971	r1	e1231
t23	e971	r1	e1245
t24	e971	r1	e1257
t25	e971	r1	e1258
t26	e971	r1	e1335
t27	e971	r1	e1359
t28	e971	r1	e1254
t29	e971	r1	e1307
t30	e971	r1	e1270
t31	e971	r1	e1196
t32	e971	r1	e1273
t33	e971	r1	e1158
t34	e971	r1	e1201
t35	e971	r1	e1166
t36	e971	r1	e1332
t37	e971	r1	e1361
t38	e971	r1	e1364
t39	e971	r1	e1163
t40	e971	r1	e1298
t41	e971	r1	e1384
t42	e971	r1	e1365
t43	e971	r1	e1222
t44	e971	r1	e1221
t45	e971	r1	e1355
t46	e971	r1	e1171
t47	e971	r1	e1301
t48	e971	r1	e1350
t49	e971	r1	e1279
t50	e971	r1	e1396
t51	e971	r1	e1173
t52	e971	r1	e1167
t53	e971	r1	e1325
t54	e971	r1	e1308
t55	e971	r1	e1382
t56	e971	r1	e1162
t57	e971	r1	e1341
t58	e971	r1	e1290
t59	e971	r1	e1175
t60	e971	r1	e1304
t61	e971	r1	e1368
t62	e971	r1	e1303
t63	e971	r1	e1266
t64	e971	r1	e1333
t65	e971	r1	e1390
t66	e971	r1	e1317
t67	e971	r1	e1230
t68	e971	r1	e1297
t69	e971	r1	e1294
t70	e971	r1	e1356
t71	e971	r1	e1366
t72	e971	r1	e1327
t73	e971	r1	e1348
t74	e971	r1	e1345
t75	e971	r1	e1324
t76	e971	r1	e1253
t77	e971	r1	e1314
t78	e971	r1	e1339
t79	e971	r1	e1315
t80	e971	r1	e1278
t81	e971	r1	e1213
t82	e971	r1	e1346
t83	e971	r1	e1371
t84	e971	r1	e1369
t85	e971	r1	e1349
t86	e971	r1	e1206
t87	e971	r1	e1342
t88	e971	r1	e1255
t89	e971	r1	e1354
t90	e971	r1	e1262
t91	e971	r1	e1223
t92	e971	r1	e1302
t93	e971	r1	e1394
t94	e971	r1	e1295
t95	e971	r1	e1389
t96	e971	r1	e1318
t97	e971	r1	e1381
t98	e971	r1	e1363
t99	e971	r1	e1277
t100	e971	r1	e1186
t101	e971	r1	e1347
t102	e971	r1	e1271
t103	e971	r1	e1193
t104	e971	r1	e1386
t105	e971	r1	e1247
t106	e971	r1	e1299
t107	e971	r1	e1288
t108	e971	r1	e1372
t109	e971	r1	e1388
t110	e971	r1	e1351
t111	e971	r1	e1393
t112	e971	r1	e1395
t113	e971	r1	e1296
t114	e971	r1	e1352
t115	e971	r1	e1380
t116	e971	r1	e1392
t117	e971	r1	e1219
t118	e971	r1	e1321
t119	e971	r1	e1214
t120	e971	r1	e1328
t121	e971	r1	e1358
t122	e971	r1	e1268
t123	e971	r1	e1152
t124	e971	r1	e1357
t125	e971	r1	e1169
t126	e971	r1	e1322
t127	e971	r1	e1292
t128	e971	r1	e1293
t129	e642	r1	e1192
t130	e642	r1	e1213
t131	e642	r1	e1284
t132	e642	r1	e1171
t133	e642	r1	e1193
t134	e642	r1	e1221
t135	e642	r1	e1214
t136	e642	r1	e1188
t137	e642	r1	e1203
t138	e642	r1	e1277
t139	e642	r1	e1278
t140	e642	r1	e1268
t141	e642	r1	e1219
t142	e642	r1	e1166
t143	e642	r1	e1207
t144	e642	r1	e1302
t145	e642	r1	e1273
t146	e642	r1	e1234
t147	e642	r1	e1314
t148	e642	r1	e1254
t149	e642	r1	e1255
t150	e642	r1	e1206
t151	e642	r1	e1271
t152	e642	r1	e1167
t153	e642	r1	e1175
t154	e642	r1	e1235
t155	e642	r1	e1296
t156	e642	r1	e1317
t157	e642	r1	e1312
t158	e642	r1	e1253
t159	e642	r1	e1223
t160	e642	r1	e1298
t161	e642	r1	e1266
t162	e642	r1	e1173
t163	e642	r1	e1304
t164	e642	r1	e1222
t165	e642	r1	e1308
t166	e642	r1	e1294
t167	e642	r1	e1315
t168	e642	r1	e1262
t169	e642	r1	e1297
t170	e642	r1	e1270
t171	e642	r1	e1313
t172	e642	r1	e1158
t173	e642	r1	e1295
t174	e642	r1	e1169
t175	e642	r1	e1290
t176	e642	r1	e1272
t177	e642	r1	e1316
t178	e642	r1	e1186
t179	e642	r1	e1162
t180	e642	r1	e1152
t181	e642	r1	e1230
t182	e642	r1	e1292
t183	e642	r1	e1293
t184	e972	r1	e1168
t185	e972	r1	e1170
t186	e972	r1	e1187
t187	e972	r1	e1209
t188	e972	r1	e1228
t189	e972	r1	e1231
t190	e972	r1	e1245
t191	e972	r1	e1257
t192	e972	r1	e1258
t193	e972	r1	e1273
t194	e972	r1	e1270
t195	e972	r1	e1271
t196	e972	r1	e1196
t197	e972	r1	e1260
t198	e972	r1	e1206
t199	e972	r1	e1303
t200	e972	r1	e1302
t201	e972	r1	e1253
t202	e972	r1	e1255
t203	e972	r1	e1296
t204	e972	r1	e1295
t205	e972	r1	e1294
t206	e972	r1	e1230
t207	e972	r1	e1266
t208	e972	r1	e1254
t209	e972	r1	e1163
t210	e972	r1	e1297
t211	e972	r1	e1247
t212	e972	r1	e1288
t213	e972	r1	e1298
t214	e972	r1	e1207
t215	e972	r1	e1262
t216	e972	r1	e1292
t217	e972	r1	e1293
t218	e973	r1	e1320
t219	e973	r1	e1321
t220	e973	r1	e1366
t221	e973	r1	e1341
t222	e973	r1	e1348
t223	e973	r1	e1369
t224	e973	r1	e1230
t225	e973	r1	e1333
t226	e973	r1	e1394
t227	e973	r1	e1307
t228	e973	r1	e1388
t229	e973	r1	e1322
t230	e973	r1	e1325
t231	e973	r1	e1318
t232	e973	r1	e1174
t233	e973	r1	e1202
t234	e973	r1	e1218
t235	e973	r1	e1308
t236	e973	r1	e1171
t237	e973	r1	e1372
t238	e973	r1	e1332
t239	e973	r1	e1294
t240	e973	r1	e1347
t241	e973	r1	e1167
t242	e973	r1	e1173
t243	e973	r1	e1334
t244	e973	r1	e1319
t245	e973	r1	e1384
t246	e973	r1	e1266
t247	e973	r1	e1247
t248	e973	r1	e1393
t249	e973	r1	e1349
t250	e973	r1	e1350
t251	e973	r1	e1152
t252	e973	r1	e1390
t253	e973	r1	e1303
t254	e973	r1	e1262
t255	e973	r1	e1353
t256	e973	r1	e1169
t257	e973	r1	e1302
t258	e973	r1	e1361
t259	e973	r1	e1389
